"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,20.0985507246377,10.5007716872343,19.9347826086956,2,41.7391304347826
"2",1,"2",23,13.0132325141777,8.41113014349892,10,3,35
"3",1,"3",18,14.2584541062802,9.88710286780081,13,1,39.6521739130435
"4",2,"1",28,24.0953416149068,8.66748949356635,23,9,41
"5",2,"2",13,19.3964730921253,9.96482633145535,18,6.54545454545455,40
"6",2,"3",5,15.6,3.50713558335004,16,12,21
"7",3,"1",26,19.7630847413456,9.45104163842866,20.72049689441,3,38
"8",3,"2",22,18.104347826087,8.83146283464987,18,5,40
"9",3,"3",0,NA,NA,NA,Inf,-Inf
