"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,11.3666666666667,4.08093408284252,11.5,5,22
"2",1,"2",23,11.3478260869565,3.6257750977258,11,5,20
"3",1,"3",18,9.44444444444444,3.41660688613412,10,2,15
"4",2,"1",28,12.2142857142857,5.40477938602865,13,4,24
"5",2,"2",13,14.2307692307692,4.51209201579205,15,6,23
"6",2,"3",5,12.2,5.49545266561363,13,6,20
"7",3,"1",26,12.8846153846154,3.80869450680333,13.5,7,21
"8",3,"2",22,12.5909090909091,3.17218703149271,11,8,19
"9",3,"3",0,NA,NA,NA,Inf,-Inf
