"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,14.9827586206897,2.6270663928634,15,10,20
"2",1,"2",21,15.047619047619,3.00792603759119,15,8,19
"3",1,"3",16,17.3125,2.65125756324554,18,10,20
"4",2,"1",28,14.4047619047857,2.99293701196986,14,8,20
"5",2,"2",12,15.8333333333333,2.62274434110301,15.5,12,20
"6",2,"3",4,17.5,2.38047614284762,18.5,14,19
"7",3,"1",27,14.6740740740741,3.33611849455121,15,7,19
"8",3,"2",21,15.4095238095238,2.75715519365609,16,11,19
"9",3,"3",0,NA,NA,NA,Inf,-Inf
