"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,5.82758620689655,4.82603775307329,4,2,17
"2",1,"2",23,4.69565217391304,3.32257816938889,3,2,14
"3",1,"3",16,5.9375,5.33502577313362,3,2,18
"4",2,"1",28,7.85714285714286,5.45496230570054,6.5,2,21
"5",2,"2",11,7.63636363636364,4.94515373416696,5,3,16
"6",2,"3",4,6,5.47722557505166,4,2,14
"7",3,"1",24,6.91666666666667,4.73577197845125,5,2,17
"8",3,"2",19,5.89473684210526,3.97065257499885,4,2,16
"9",3,"3",0,NA,NA,NA,Inf,-Inf
