"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,52.1333333333333,6.70940324872659,53.5,34,60
"2",1,"2",23,55.0869565217391,5.72008457882686,58,41,60
"3",1,"3",18,53.8888888888889,4.32351829619308,55,45,60
"4",2,"1",28,53.1655844155844,6.72249596410489,55.8181818181818,29,60
"5",2,"2",13,51.7692307692308,5.05229067113532,52,43,59
"6",2,"3",5,53.2,4.08656334834051,52,49,58
"7",3,"1",26,54.4230769230769,4.87584312235804,56,45,60
"8",3,"2",22,53.7272727272727,4.18821269053107,54.5,46,60
"9",3,"3",0,NA,NA,NA,Inf,-Inf
