"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,1.33542319749216,0.32424960894281,1.36363636363636,0.636363636363636,1.90909090909091
"2",1,"2",24,1.53257575757576,0.340086403033593,1.57272727272727,0.363636363636364,2
"3",1,"3",18,1.51010101010101,0.440023520926204,1.63636363636364,0.181818181818182,2.09090909090909
"4",2,"1",27,1.44781144781145,0.261938013959369,1.54545454545455,0.818181818181818,1.81818181818182
"5",2,"2",13,1.5020979020979,0.296772209678369,1.45454545454545,1.09090909090909,1.90909090909091
"6",2,"3",5,1.56909090909091,0.20806070315739,1.54545454545455,1.3,1.81818181818182
"7",3,"1",26,1.4222027972028,0.307896963883574,1.45454545454545,0.636363636363636,1.90909090909091
"8",3,"2",21,1.4025974025974,0.318274569041735,1.36363636363636,0.454545454545455,1.81818181818182
"9",3,"3",0,NA,NA,NA,Inf,-Inf
