"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,71.3333333333333,19.6825379169094,67,45,135
"2",1,"2",23,69.6521739130435,17.1374356192735,65,43,106
"3",1,"3",18,67.6111111111111,22.6563557863205,63,21,117
"4",2,"1",28,77.1785714285714,26.238300491808,76,44,162
"5",2,"2",13,85.9230769230769,21.2856036577994,96,48,114
"6",2,"3",5,72.2,19.7914122790669,75,52,98
"7",3,"1",26,78.7307692307692,23.1560924031801,76,43,137
"8",3,"2",22,75.4090909090909,21.1021531081751,76,40,136
"9",3,"3",0,NA,NA,NA,Inf,-Inf
