"","group","time","n","mean","sd","median","min","max"
"1",1,"1",15,84.72,8.48176194633436,86,68,97.8
"2",1,"2",15,94.4,5.22767361534473,96.5,85.5,101
"3",1,"3",16,90.65625,5.1013682805041,91,80.5,98.5
"4",2,"1",3,88.1666666666667,11.8145390656315,84,79,101.5
"5",2,"2",3,89.5,4.09267638593623,90.5,85,93
"6",2,"3",4,82.375,7.69604876976924,82.75,73,91
