"","group","time","n","mean","sd","median","min","max"
"1",1,"1",27,83.3074074074074,7.87825273121306,83.5,64.5,97.8
"2",1,"2",21,94.2142857142857,5.01390922477519,95.5,85.5,101
"3",1,"3",16,90.65625,5.1013682805041,91,80.5,98.5
"4",2,"1",27,80.2592592592593,12.0873188240104,81.5,51.5,101.5
"5",2,"2",12,85.7916666666667,7.66769591246683,87.5,76.5,96
"6",2,"3",4,82.375,7.69604876976924,82.75,73,91
"7",3,"1",26,80.5192307692308,9.38986769792926,82.25,55,93.5
"8",3,"2",19,81.5526315789474,9.71953179148121,83,63.5,95
"9",3,"3",0,NA,NA,NA,Inf,-Inf
