"","group","time","n","mean","sd","median","min","max"
"1",1,"1",22,91.5206611570248,20.7316138428505,90.2,56.8363636363636,127.927272727273
"2",1,"2",23,80.9636363636364,19.5857213510627,76.7454545454545,54.7818181818182,137.636363636364
"3",1,"3",18,84.0939393939394,24.0486844165789,78.4,51.2363636363636,152.563636363636
"4",2,"1",22,99.4528925619834,18.5767234135956,95.3181818181818,62.5818181818182,143.018181818182
"5",2,"2",12,92.3924242424242,21.1265991248833,85.0727272727273,59.6909090909091,125.927272727273
"6",2,"3",4,82.2318181818182,21.0556830958677,83.3181818181818,58.5818181818182,103.709090909091
"7",3,"1",19,87.7406698564593,20.8303937030016,86.8909090909091,48.3454545454545,113
"8",3,"2",20,85.9081818181818,18.3193378005611,92.1,51.7090909090909,112.454545454545
"9",3,"3",0,NA,NA,NA,Inf,-Inf
