"","group","time","n","mean","sd","median","min","max"
"1",1,"1",27,16.4814814814815,16.4816223304587,13,0,70
"2",1,"2",17,18.4705882352941,19.4393854296465,8,0,53
"3",1,"3",16,17.4375,17.1346384068452,14.5,NA,NA
"4",2,"1",25,20.68,22.4252833501237,16,0,80
"5",2,"2",12,13.1666666666667,10.9447649032713,9,0,32
"6",2,"3",4,20.25,21.8536800867344,12.5,NA,NA
"7",3,"1",28,15.8214285714286,17.5964086643723,10.5,0,60
"8",3,"2",22,18.4545454545455,22.7548577183763,8,0,77
"9",3,"3",0,NA,NA,NA,NA,NA
