"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,18.5,13.5589390287812,17.5,1,67
"2",1,"2",23,22.2608695652174,14.7377603803179,19,1,53
"3",1,"3",13,13.4615384615385,8.49132287117644,13,1,25
"4",2,"1",28,17.6785714285714,7.94916054933811,17.5,2,34
"5",2,"2",12,24.6666666666667,10.8404405590894,26,3,41
"6",2,"3",3,17.3333333333333,13.6503968196288,15,5,32
"7",3,"1",30,20.2333333333333,13.6120720592835,17.5,0,54
"8",3,"2",26,21.6923076923077,15.1967607884555,22,2,72
"9",3,"3",0,NA,NA,NA,Inf,-Inf
