"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,4.15081085236407,3.14839159376144,3.59230201282077,0.374531835205993,12.6728110599078
"2",1,"2",22,1.13846176349207,1.38979125150428,0.569805194805195,0,5.32994923857868
"3",1,"3",18,0.930656439947888,1.08580036691538,0.534309365806937,0,4.3859649122807
"4",2,"1",29,4.18563457276335,3.24902771126843,3.43915343915344,0,12.7167630057803
"5",2,"2",12,2.80516590258777,2.86019045399847,1.99991257212799,0,9.32539682539683
"6",2,"3",5,3.15323092106086,3.40816374480553,1.4760147601476,0.735294117647059,8.80952380952381
"7",3,"1",30,4.69648457049269,4.20555559848879,3.1224157591901,0.833333333333333,18.8202247191011
"8",3,"2",26,2.30546384873789,2.19748249377765,1.86750589563889,0,9.28571428571429
"9",3,"3",1,0.907441016333938,NA,0.907441016333938,0.907441016333938,0.907441016333938
