"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,43.4,9.09186828795475,45,28,63
"2",1,"2",24,45.4583333333333,11.0058449556772,45.5,28,64
"3",1,"3",19,43.7368421052632,9.21256451967853,44,28,57
"4",2,"1",27,44.5925925925926,10.4375773023734,42,28,63
"5",2,"2",13,44.6923076923077,11.7358753073969,44,28,70
"6",2,"3",5,46.6,8.44393273303382,50,33,53
"7",3,"1",30,46.7666666666667,11.2638675704075,47.5,30,72
"8",3,"2",26,41.6923076923077,11.2419543879851,38.5,28,70
"9",3,"3",0,NA,NA,NA,Inf,-Inf
