"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,17.2068965517241,8.82520461254027,16,3,40
"2",1,"2",24,11.9583333333333,7.57271513347449,11,1,32
"3",1,"3",18,10.8888888888889,10.0287169368116,8,1,41
"4",2,"1",27,18.2962962962963,7.99910963706305,17,6,42
"5",2,"2",13,18.4615384615385,10.4611613808361,16,9,45
"6",2,"3",5,15.2,8.04363102087608,11,8,27
"7",3,"1",26,15.6153846153846,6.7116431554541,16,4,33
"8",3,"2",21,15.5714285714286,9.59464136156964,15,2,43
"9",3,"3",0,NA,NA,NA,Inf,-Inf
