"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,0.00942901537640291,0.00726404443517998,0.00825656901238296,0,0.0254777070063694
"2",1,"2",23,0.00365845686171851,0.00588402214737804,0.00214592274678112,0,0.0272108843537415
"3",1,"3",13,0.00531782752186417,0.00587180418330068,0.00383141762452107,0,0.0221327967806841
"4",2,"1",28,0.00815077290504832,0.00877147545835316,0.00539812049246012,0,0.037117903930131
"5",2,"2",12,0.0118625140882692,0.0105598121071109,0.006181472597339,0,0.0290697674418605
"6",2,"3",3,0.00976984800093752,0.00424012875137194,0.00764818355640535,0.00700934579439252,0.0146520146520147
"7",3,"1",30,0.0087289511485494,0.0106331626522323,0.00726111714558441,0,0.0483005366726297
"8",3,"2",26,0.0124499742424173,0.0144485726704711,0.00959768543830876,0,0.064128256513026
"9",3,"3",0,NA,NA,NA,Inf,-Inf
