"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,1.93958333333333,0.357952727492332,1.94444444444444,1.16666666666667,2.55555555555556
"2",1,"2",22,2.13636363636364,0.28313732857646,2.11111111111111,1.5,2.55555555555556
"3",1,"3",18,2.2037037037037,0.360041149911548,2.16666666666667,1.66666666666667,2.88888888888889
"4",2,"1",28,1.91269841269841,0.339594344811604,1.91666666666666,1.22222222222222,2.72222222222222
"5",2,"2",13,1.88888888888889,0.298314883214574,1.83333333333333,1.5,2.55555555555556
"6",2,"3",5,2.03333333333333,0.224295880424294,1.94444444444444,1.83333333333333,2.38888888888889
"7",3,"1",26,1.97473604826546,0.440217847589304,2,0.833333333333333,2.88888888888889
"8",3,"2",21,2.06084656084656,0.344670518060347,2.05555555555556,1.44444444444444,2.88888888888889
"9",3,"3",0,NA,NA,NA,Inf,-Inf
