"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,0.221088022474206,0.320658782401309,0,0,1.21457489878543
"2",1,"2",22,5.53821769024906,2.59868575622208,5.90425531914893,1.00603621730382,11.4503816793893
"3",1,"3",18,3.38952180777122,3.25016169780455,2.52546689303905,0.301204819277108,14.1479099678457
"4",2,"1",29,0.381479144472116,0.688828452150935,0,0,2.78481012658228
"5",2,"2",12,0.669835339316294,0.862817055965202,0.445937450887946,0,2.97029702970297
"6",2,"3",5,0.38917701503294,0.219221505344321,0.3690036900369,0.171526586620926,0.735294117647059
"7",3,"1",30,0.449652306224613,0.717167899563242,0,0,2.96296296296296
"8",3,"2",26,0.543520454713728,0.755037775555832,0.216344362471123,0,2.91970802919708
"9",3,"3",1,1.27041742286751,NA,1.27041742286751,1.27041742286751,1.27041742286751
