"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,0.733333333333333,1.01483252680985,0,0,3
"2",1,"2",22,19.8636363636364,8.29397632562592,19.5,5,40
"3",1,"3",18,11.4444444444444,10.5341027269264,9,1,44
"4",2,"1",29,1.51724137931034,2.69418274986222,0,0,11
"5",2,"2",12,2.83333333333333,3.58870281282637,2,0,12
"6",2,"3",5,1.4,0.547722557505166,1,1,2
"7",3,"1",30,1.5,2.12943249684527,0,0,8
"8",3,"2",26,2,2.78567765543682,1,0,12
"9",3,"3",0,NA,NA,NA,Inf,-Inf
