"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,16.0333333333333,3.47883584702911,15.5,10,26
"2",1,"2",23,14.7391304347826,3.91056135594074,14,9,20
"3",1,"3",18,14.3888888888889,3.77513363828727,14,5,21
"4",2,"1",28,15.9642857142857,5.25273927025413,16,6,25
"5",2,"2",13,17,4.79583152331272,16,10,24
"6",2,"3",5,13.2,0.836660026534076,13,12,14
"7",3,"1",26,15.6538461538462,5.1064062328985,17,6,24
"8",3,"2",22,15.9090909090909,5.81385120216073,17,6,26
"9",3,"3",0,NA,NA,NA,Inf,-Inf
