"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,9.5,3.07099893890549,10,5,17
"2",1,"2",23,9.43478260869565,3.42220140415389,10,5,16
"3",1,"3",18,10.0555555555556,3.3863431990036,10,5,17
"4",2,"1",28,10.7142857142857,4.92805380304581,10,5,23
"5",2,"2",13,11.4615384615385,3.77746353645284,10,6,19
"6",2,"3",5,9.4,1.14017542509914,9,8,11
"7",3,"1",26,10.1923076923077,3.58908602035929,10,5,17
"8",3,"2",22,10.2272727272727,3.84127729478246,11.5,4,15
"9",3,"3",0,NA,NA,NA,Inf,-Inf
