"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,0.0500602374260328,0.0310690944704222,0.0545026468953818,0.00230414746543779,0.105454545454545
"2",1,"2",23,0.054800679757997,0.0365701117269554,0.0492957746478873,0.00309597523219814,0.139455782312925
"3",1,"3",13,0.0379904796923799,0.0244945236164312,0.0378548895899054,0.00383141762452107,0.0766283524904215
"4",2,"1",28,0.0449631484383355,0.0191680908185497,0.0470686930883383,0.00611620795107034,0.0859872611464968
"5",2,"2",12,0.0550786605538236,0.0183721710187576,0.0640623056833727,0.0137614678899083,0.0718038528896672
"6",2,"3",3,0.0405873539305751,0.0300502058481077,0.0286806883365201,0.0183150183150183,0.0747663551401869
"7",3,"1",30,0.0502362702930974,0.0254792030626252,0.0485622760159578,0,0.09765625
"8",3,"2",26,0.0552657740460994,0.0333077297267454,0.0516471646330156,0.00655021834061135,0.124783362218371
"9",3,"3",0,NA,NA,NA,Inf,-Inf
