"","group","time","n","mean","sd","median","min","max"
"1",1,"1",27,0.12705935762963,0.441925602812977,0.243333333,-0.63,0.771666667
"2",1,"2",16,0.3478124999375,0.341812011844291,0.3579166665,-0.436666667,0.845
"3",1,"3",12,0.307569444333333,0.143995764213562,0.2616666665,0.055833333,0.603333333
"4",2,"1",26,0.0442195205769231,0.397353649584135,0.0616666665,-0.568333333,0.663333333
"5",2,"2",13,0.088141,0.312962618840005,0.03,-0.426666667,0.561666667
"6",2,"3",4,0.35208333325,0.174713389953322,0.3266666665,0.188333333,0.566666667
"7",3,"1",25,0.1527418262,0.420901795852343,0.251878988,-0.61,0.681666667
"8",3,"2",17,0.164264706,0.378477267348661,0.323333333,-0.515833333,0.685
"9",3,"3",0,NA,NA,NA,Inf,-Inf
