"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,3.63333333333333,2.83431355593084,3.5,0,12
"2",1,"2",23,1.39130434782609,1.9479390142307,1,0,8
"3",1,"3",13,2.23076923076923,3.19253937991494,1,0,11
"4",2,"1",28,3.32142857142857,3.73227734498579,2,0,17
"5",2,"2",12,4.83333333333333,4.3239992711574,3,0,15
"6",2,"3",3,3.66666666666667,0.577350269189626,4,3,4
"7",3,"1",30,3.66666666666667,5.16842758275289,2.5,0,27
"8",3,"2",26,5.30769230769231,7.45530270757254,4,0,32
"9",3,"3",1,8,NA,8,8,8
