"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,13.3,10.8059689763224,9,1,44
"2",1,"2",23,10.2717391304348,8.2809039099133,9,0,38
"3",1,"3",18,14.0555555555556,11.1380229644024,11.5,0,50
"4",2,"1",28,16.7857142857143,10.4646039823749,15,1,43
"5",2,"2",13,16.0769230769231,10.307453116245,16,0,34
"6",2,"3",5,14.8,8.61394218694321,14,3,27
"7",3,"1",26,12.8461538461538,10.6158082412685,11.5,0,33
"8",3,"2",22,10.3636363636364,5.45584400127366,11,1,20
"9",3,"3",0,NA,NA,NA,Inf,-Inf
