"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,10.5333333333333,3.81226092146555,11,6,19
"2",1,"2",23,9.73913043478261,3.4406314339132,8,6,18
"3",1,"3",18,10.9444444444444,5.97516647291814,9.5,2,25
"4",2,"1",28,13.0357142857143,6.42035041651929,11.5,6,28
"5",2,"2",13,13.9230769230769,5.17142047638652,12,7,22
"6",2,"3",5,11.4,5.50454357780915,10,6,19
"7",3,"1",26,13.1538461538462,5.90384490102718,12,6,24
"8",3,"2",22,12.2272727272727,5.0325778510461,10.5,6,22
"9",3,"3",0,NA,NA,NA,Inf,-Inf
