"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,13,5.57086014531156,12,7,33
"2",1,"2",22,10.7272727272727,5.55647899973165,8,7,29
"3",1,"3",18,11,6.6332495807108,8.5,7,35
"4",2,"1",28,15.7607142857143,6.24423390689908,16.5,7,30.8
"5",2,"2",13,13.6153846153846,4.85692738155962,13,8,25
"6",2,"3",5,10.2666666666667,4.20581607882332,8,7,16.3333333333333
"7",3,"1",25,13.68,5.31287743757247,14,7,24
"8",3,"2",22,11.6893939393939,3.36347304700825,11,7,19
"9",3,"3",0,NA,NA,NA,Inf,-Inf
