"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,10.3793103448276,3.78355268708665,10,5,21
"2",1,"2",23,11.7826086956522,4.77642431626545,10,6,22
"3",1,"3",18,9.94444444444444,4.3314475534741,9.5,4,21
"4",2,"1",28,10.6785714285714,5.27083921512941,9,6,29
"5",2,"2",13,11.8461538461538,3.50823207722812,13,7,19
"6",2,"3",5,10.8,3.03315017762062,11,7,15
"7",3,"1",26,11.1923076923077,4.11843883790186,10,6,25
"8",3,"2",22,9.81818181818182,3.71145413212824,9,6,23
"9",3,"3",0,NA,NA,NA,Inf,-Inf
