"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,47.0460603805446,14.879388451269,43.75,20,82.3529411764706
"2",1,"2",21,53.0053390932462,12.1746088980271,54.5454545454545,33.3333333333333,75
"3",1,"3",18,54.0464869980999,24.9827590970605,59.1666666666667,10,85
"4",2,"1",29,46.6215333702423,17.8562395177846,42.1052631578947,16,78.5714285714286
"5",2,"2",12,51.9612656085464,25.2908435675669,59.8398169336385,9.75609756097561,79.1666666666667
"6",2,"3",5,65.4037084022091,15.5898354464796,65.5172413793103,47.8260869565217,88.8888888888889
"7",3,"1",28,49.1153228791896,13.8411497910854,49.1379310344827,25,76
"8",3,"2",22,49.8048440708453,17.1622685291879,46.1709211986681,14.2857142857143,79.4117647058823
"9",3,"3",0,NA,NA,NA,Inf,-Inf
