"","group","time","n","mean","sd","median","min","max"
"1",1,"1",29,13.1551724137931,2.93714951792386,13,7,18
"2",1,"2",21,15.2380952380952,2.75508188453196,16,9,20
"3",1,"3",16,14.8125,2.45543614591515,15,10,19
"4",2,"1",28,13.1428571428571,2.85078658039919,13,9,18
"5",2,"2",12,15.5833333333333,3.11764285473769,16,11,20
"6",2,"3",4,14.5,2.38047614284762,15.5,11,16
"7",3,"1",27,13.3925925925926,3.08718516624971,13,7,19
"8",3,"2",21,14.3904761904762,3.34991115731518,14,10,20
"9",3,"3",0,NA,NA,NA,Inf,-Inf
