"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,13.8666666666667,5.46924525672061,13,8,32
"2",1,"2",23,12.6086956521739,5.4166337284901,10,8,30
"3",1,"3",18,12.8333333333333,6.10929860227544,11,2,27
"4",2,"1",28,14.5714285714286,6.44307593570241,13.5,8,35
"5",2,"2",13,17.4615384615385,5.47137070905431,17,9,24
"6",2,"3",5,15.2,7.29383301152419,13,9,27
"7",3,"1",26,15.6538461538462,6.31152791448985,14.5,8,36
"8",3,"2",22,14.6363636363636,5.26936749204625,14.5,7,31
"9",3,"3",0,NA,NA,NA,Inf,-Inf
