"","group","time","n","mean","sd","median","min","max"
"1",1,"1",30,8.00277777777778,1.18872483381295,8.16666666666667,5.16666666666667,9.83333333333333
"2",1,"2",23,8.66666666666667,1.06984611373352,8.66666666666667,6.08333333333333,10
"3",1,"3",18,8.20833333333333,1.23908634377119,8.45833333333334,4.25,9.83333333333333
"4",2,"1",28,8.05248917748918,1.10381929440689,8.375,4.5,9.25
"5",2,"2",13,8.05769230769231,1.04824843731092,8,5.41666666666667,9.66666666666667
"6",2,"3",5,8.5,0.580349511549338,8.16666666666667,8,9.25
"7",3,"1",26,8.36713286713287,1.03627996908689,8.33333333333334,6.41666666666667,9.83333333333333
"8",3,"2",22,8.29166666666667,0.85400937382561,8.29166666666666,7.25,9.83333333333333
"9",3,"3",0,NA,NA,NA,Inf,-Inf
